branch,buildId,changeset,changeset_link,clog_link,link,product,releaseType,version
cart-20fq3,14056713,7232511,http://p4web.eng.vmware.com/@md=d&cd=//&c=UXC@/7232511?ac=10,https://buildweb.eng.vmware.com/changelog/14056713,https://buildweb.eng.vmware.com/ob/build/14056713/,hcmac,beta,5.1.0
branch,buildId,changeset,changeset_link,clog_link,link,product,releaseType,version
cart-20fq3,14056713,7232511,http://p4web.eng.vmware.com/@md=d&cd=//&c=UXC@/7232511?ac=10,https://buildweb.eng.vmware.com/changelog/14056713,https://buildweb.eng.vmware.com/ob/build/14056713/,hcmac,beta,5.1.0
branch,buildId,changeset,changeset_link,clog_link,link,product,releaseType,version
cart-20fq3,14056713,7232511,http://p4web.eng.vmware.com/@md=d&cd=//&c=UXC@/7232511?ac=10,https://buildweb.eng.vmware.com/changelog/14056713,https://buildweb.eng.vmware.com/ob/build/14056713/,hcmac,beta,5.1.0
branch,buildId,changeset,changeset_link,clog_link,link,product,releaseType,version
cart-20fq3,14056713,7232511,http://p4web.eng.vmware.com/@md=d&cd=//&c=UXC@/7232511?ac=10,https://buildweb.eng.vmware.com/changelog/14056713,https://buildweb.eng.vmware.com/ob/build/14056713/,hcmac,beta,5.1.0
branch,buildId,changeset,changeset_link,clog_link,link,product,releaseType,version
cart-20fq3,14056713,7232511,http://p4web.eng.vmware.com/@md=d&cd=//&c=UXC@/7232511?ac=10,https://buildweb.eng.vmware.com/changelog/14056713,https://buildweb.eng.vmware.com/ob/build/14056713/,hcmac,beta,5.1.0
cart-20fq3,14056713,7232511,http://p4web.eng.vmware.com/@md=d&cd=//&c=UXC@/7232511?ac=10,https://buildweb.eng.vmware.com/changelog/14056713,https://buildweb.eng.vmware.com/ob/build/14056713/,hcmac,beta,5.1.0
cart-20fq3,14056713,7232511,http://p4web.eng.vmware.com/@md=d&cd=//&c=UXC@/7232511?ac=10,https://buildweb.eng.vmware.com/changelog/14056713,https://buildweb.eng.vmware.com/ob/build/14056713/,hcmac,beta,5.1.0
cart-20fq3,14056713,7232511,http://p4web.eng.vmware.com/@md=d&cd=//&c=UXC@/7232511?ac=10,https://buildweb.eng.vmware.com/changelog/14056713,https://buildweb.eng.vmware.com/ob/build/14056713/,hcmac,beta,5.1.0
cart-20fq3,14056713,7232511,http://p4web.eng.vmware.com/@md=d&cd=//&c=UXC@/7232511?ac=10,https://buildweb.eng.vmware.com/changelog/14056713,https://buildweb.eng.vmware.com/ob/build/14056713/,hcmac,beta,5.1.0
